Commune;Code département;Département;EPCI;Code région;Région;Compte;Date de la donnée;Code EPCI;Régime d'exploitation;Puissance de raccordement;Filière;Coordonnées géographiques;Code Insee Commune
Brech;56;Morbihan;CC Auray Quiberon Terre Atlantique;53;Bretagne;1;2018-12;200043123;Project;65.0;Hydraulique;47.709389623, -3.02425370135;56023
Brech;56;Morbihan;CC Auray Quiberon Terre Atlantique;53;Bretagne;1;2018-12;200043123;;;Hydraulique;47.709389623, -3.02425370135;56023
Châtelaudren-Plouagat;22;Côtes-d'Armor;CC Leff Armor Communauté;53;Bretagne;1;2018-12;200069086;Realised;45.0;Hydraulique;48.5303656854, -2.98952865818;22206
Guerlédan;22;Côtes-d'Armor;CC Loudéac Communauté - Bretagne Centre;53;Bretagne;1;2018-12;200067460;Realised;15000.0;Hydraulique;48.1957524474, -2.9837108711;22158
Huelgoat;29;Finistère;CC Monts d'Arrée Communauté;53;Bretagne;1;2018-12;200067197;Realised;400.0;Hydraulique;48.3615514061, -3.75817537147;29081
Loc-Envel;22;Côtes-d'Armor;CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;53;Bretagne;1;2018-12;200067981;;;Hydraulique;48.5098602173, -3.40963775172;22129
Loqueffret;29;Finistère;CC Monts d'Arrée Communauté;53;Bretagne;1;2018-12;200067197;Realised;5800.0;Hydraulique;48.3294972267, -3.85916862997;29141
Plouasne;22;Côtes-d'Armor;CA Dinan Agglomération;53;Bretagne;1;2018-12;200068989;Project;2500.0;Hydraulique;48.3117473235, -2.00863040053;22208
Plouégat-Guérand;29;Finistère;CA Morlaix Communauté;53;Bretagne;1;2018-12;242900835;;;Hydraulique;48.621971426, -3.6705039462;29182
Plélo;22;Côtes-d'Armor;CC Leff Armor Communauté;53;Bretagne;1;2018-12;200069086;;;Hydraulique;48.5539490397, -2.92735554544;22182
Plémet;22;Côtes-d'Armor;CC Loudéac Communauté - Bretagne Centre;53;Bretagne;1;2018-12;200067460;Realised;160.0;Hydraulique;48.1860837585, -2.5859903316;22183
Priziac;56;Morbihan;CC Roi Morvan Communauté;53;Bretagne;2;2018-12;245614417;Realised;645.0;Hydraulique;48.055864397, -3.43477253026;56182
Quistinic;56;Morbihan;CA Lorient Agglomération;53;Bretagne;3;2018-12;200042174;Realised;1147.0;Hydraulique;47.9093287127, -3.12816047592;56188
Saint-Abraham;56;Morbihan;CC de l'Oust à Brocéliande;53;Bretagne;1;2018-12;200066785;Realised;350.0;Hydraulique;47.8475889201, -2.40640451407;56202
Saint-Thuriau;56;Morbihan;CC Pontivy Communauté;53;Bretagne;1;2018-12;245614433;Realised;36.0;Hydraulique;48.0165458217, -2.94330344486;56237
Sainte-Anne-d'Auray;56;Morbihan;CC Auray Quiberon Terre Atlantique;53;Bretagne;1;2018-12;200043123;Realised;36.0;Hydraulique;47.7009234212, -2.95341644757;56263
Sizun;29;Finistère;CC du Pays de Landivisiau;53;Bretagne;1;2018-12;242900751;Realised;160.0;Hydraulique;48.3948012299, -4.04497181745;29277
Saint-Abraham;56;Morbihan;CC de l'Oust à Brocéliande;53;Bretagne;1;2021-07;200066785;Realised;350.0;Hydraulique;47.8475889201, -2.40640451407;56202
Saint-Aubin-des-Landes;35;Ille-et-Vilaine;CA Vitré Communauté;53;Bretagne;1;2021-07;200039022;;;Hydraulique;48.1003176943, -1.29173658407;35252
Saint-Thuriau;56;Morbihan;CC Pontivy Communauté;53;Bretagne;1;2021-07;245614433;Realised;36.0;Hydraulique;48.0165458217, -2.94330344486;56237
Scaër;29;Finistère;CA Quimperlé Communauté;53;Bretagne;1;2021-07;242900694;Realised;360.0;Hydraulique;48.0279903072, -3.73073835764;29274
Sizun;29;Finistère;CC du Pays de Landivisiau;53;Bretagne;1;2021-07;242900751;Realised;160.0;Hydraulique;48.3948012299, -4.04497181745;29277
