Commune;Code département;Département;EPCI;Code région;Région;Compte;Date de la donnée;Code EPCI;Régime d'exploitation;Puissance de raccordement;Filière;Coordonnées géographiques;Code Insee Commune
Monterfil;35;Ille-et-Vilaine;CC de Brocéliande;53;Bretagne;38;2020-12;243500618;Realised;227.10000000000002;Solaire;48.060006909, -1.990461126;35187
Montfort-sur-Meu;35;Ille-et-Vilaine;CC Montfort Communauté;53;Bretagne;47;2020-12;243500550;Realised;171.1;Solaire;48.126082661, -1.96392932;35188
Montgermont;35;Ille-et-Vilaine;Rennes Métropole;53;Bretagne;28;2020-12;243500139;Realised;113.89999999999999;Solaire;48.154026932, -1.717026621;35189
Montreuil-le-Gast;35;Ille-et-Vilaine;CC du Val d'Ille-Aubigné;53;Bretagne;20;2020-12;243500667;Realised;152.25;Solaire;48.243958934, -1.720351284;35193
Montreuil-sous-Pérouse;35;Ille-et-Vilaine;CA Vitré Communauté;53;Bretagne;13;2020-12;200039022;Realised;42.300000000000004;Solaire;48.151138695, -1.242586506;35194
Moréac;56;Morbihan;CC Centre Morbihan Communauté;53;Bretagne;47;2020-12;200067221;Realised;626.92;Solaire;47.932974155, -2.803838548;56140
Mouazé;35;Ille-et-Vilaine;CC du Val d'Ille-Aubigné;53;Bretagne;16;2020-12;243500667;Realised;85.11999999999999;Solaire;48.218246772, -1.6076055679999999;35197
Moussé;35;Ille-et-Vilaine;CA Vitré Communauté;53;Bretagne;5;2020-12;200039022;;;Solaire;47.917539386, -1.279491663;35199
Moëlan-sur-Mer;29;Finistère;CA Quimperlé Communauté;53;Bretagne;50;2020-12;242900694;Realised;338.30999999999995;Solaire;47.806216845, -3.645657462;29150
Ménéac;56;Morbihan;CC Ploërmel Communauté;53;Bretagne;28;2020-12;200066777;Realised;1039.1399999999999;Solaire;48.131508886, -2.45397294;56129
Nivillac;56;Morbihan;CC Arc Sud Bretagne;53;Bretagne;49;2020-12;200027027;Realised;298.37000000000006;Solaire;47.540495993, -2.2495035850000002;56147
Nostang;56;Morbihan;CC de Blavet Bellevue Océan;53;Bretagne;7;2020-12;245600440;Realised;107.1;Solaire;47.756995601, -3.17537913;56148
Noyal-sur-Vilaine;35;Ille-et-Vilaine;CC Pays de Châteaugiron Communauté;53;Bretagne;49;2020-12;243500659;Realised;423.5500000000001;Solaire;48.091365067, -1.505253586;35207
Orgères;35;Ille-et-Vilaine;Rennes Métropole;53;Bretagne;39;2020-12;243500139;Realised;815.41;Solaire;47.98519433, -1.665732974;35208
Pacé;35;Ille-et-Vilaine;Rennes Métropole;53;Bretagne;52;2020-12;243500139;Realised;1134.8;Solaire;48.152607315, -1.777240747;35210
Pencran;29;Finistère;CC du Pays de Landerneau-Daoulas;53;Bretagne;7;2020-12;242900801;;;Solaire;48.443676245, -4.221191239;29156
Penvénan;22;Côtes-d'Armor;CA Lannion-Trégor Communauté;53;Bretagne;16;2020-12;200065928;Realised;235.40000000000003;Solaire;48.816988731, -3.301984969;22166
Plabennec;29;Finistère;CC du Pays des Abers;53;Bretagne;76;2020-12;242900553;Realised;593.2499999999998;Solaire;48.493592501, -4.419446467;29160
Plaine-Haute;22;Côtes-d'Armor;CA Saint-Brieuc Armor Agglomération;53;Bretagne;23;2020-12;200069409;Realised;168.88000000000002;Solaire;48.443243697, -2.859078123;22170
Plesder;35;Ille-et-Vilaine;CC Bretagne Romantique;53;Bretagne;20;2020-12;243500733;Realised;365.7;Solaire;48.417806102, -1.930001296;35225
Pleslin-Trigavou;22;Côtes-d'Armor;CA Dinan Agglomération;53;Bretagne;26;2020-12;200068989;Realised;98.1;Solaire;48.527507745, -2.071209372;22190
Pleudaniel;22;Côtes-d'Armor;CA Lannion-Trégor Communauté;53;Bretagne;4;2020-12;200065928;Realised;43.4;Solaire;48.761630954, -3.153787376;22196
Pleugriffet;56;Morbihan;CC Pontivy Communauté;53;Bretagne;14;2020-12;245614433;Realised;95.10000000000002;Solaire;47.994093924, -2.691363157;56160
Pleumeleuc;35;Ille-et-Vilaine;CC Montfort Communauté;53;Bretagne;29;2020-12;243500550;Realised;258.1500000000001;Solaire;48.183345926, -1.893661184;35227
Pleumeur-Bodou;22;Côtes-d'Armor;CA Lannion-Trégor Communauté;53;Bretagne;26;2020-12;200065928;Realised;146.8;Solaire;48.785273272, -3.518492091;22198
Pleumeur-Gautier;22;Côtes-d'Armor;CA Lannion-Trégor Communauté;53;Bretagne;6;2020-12;200065928;Realised;127.6;Solaire;48.800464897, -3.151609248;22199
Pleurtuit;35;Ille-et-Vilaine;CC Côte d'Émeraude;53;Bretagne;31;2020-12;243500725;Realised;351.84999999999997;Solaire;48.582659827, -2.060009224;35228
Plobannalec-Lesconil;29;Finistère;CC du Pays Bigouden Sud;53;Bretagne;19;2020-12;242900702;Realised;99.60000000000002;Solaire;47.821116714, -4.228207826;29165
Ploeren;56;Morbihan;CA Golfe du Morbihan - Vannes Agglomération;53;Bretagne;47;2020-12;200067932;Realised;699.5999999999998;Solaire;47.661712579, -2.842842064;56164
Plogastel-Saint-Germain;29;Finistère;CC du Haut Pays Bigouden;53;Bretagne;8;2020-12;242900710;Realised;57.3;Solaire;47.977410166, -4.263801143;29167
Plogoff;29;Finistère;CC Cap Sizun - Pointe du Raz;53;Bretagne;3;2020-12;242900629;;;Solaire;48.035037943, -4.679368473;29168
Plogonnec;29;Finistère;CA Quimper Bretagne Occidentale;53;Bretagne;24;2020-12;200068120;Realised;898.2;Solaire;48.072726413, -4.158640354;29169
Plomodiern;29;Finistère;CC Pleyben-Châteaulin-Porzay;53;Bretagne;22;2020-12;200067247;Realised;188.85000000000002;Solaire;48.180898454, -4.217505082;29172
Plonévez-du-Faou;29;Finistère;CC de Haute-Cornouaille;53;Bretagne;17;2020-12;242900561;Realised;113.00000000000001;Solaire;48.256028048, -3.823602633;29175
Plouaret;22;Côtes-d'Armor;CA Lannion-Trégor Communauté;53;Bretagne;10;2020-12;200065928;Realised;171.20000000000002;Solaire;48.619396682, -3.483184518;22207
Plouasne;22;Côtes-d'Armor;CA Dinan Agglomération;53;Bretagne;35;2020-12;200068989;Realised;753.5499999999998;Solaire;48.311695291, -2.007959888;22208
Plouescat;29;Finistère;CC Haut-Léon Communauté;53;Bretagne;48;2020-12;200067072;Realised;632.95;Solaire;48.665462971, -4.180094953;29185
Plouezoc'h;29;Finistère;CA Morlaix Communauté;53;Bretagne;17;2020-12;242900835;Realised;268.54999999999995;Solaire;48.637062641, -3.8153740220000003;29186
Plougonver;22;Côtes-d'Armor;CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;53;Bretagne;8;2020-12;200067981;;;Solaire;48.484982073, -3.374792112;22216
Plouguenast-Langast;22;Côtes-d'Armor;CC Loudéac Communauté - Bretagne Centre;53;Bretagne;34;2020-12;200067460;Realised;216.48;Solaire;48.277133546, -2.709941366;22219
Plouguin;29;Finistère;CC du Pays des Abers;53;Bretagne;28;2020-12;242900553;Realised;241.50000000000003;Solaire;48.528918665, -4.59256332;29196
Plouigneau;29;Finistère;CA Morlaix Communauté;53;Bretagne;28;2020-12;242900835;Realised;202.9;Solaire;48.573530874, -3.703695602;29199
Ploulec'h;22;Côtes-d'Armor;CA Lannion-Trégor Communauté;53;Bretagne;10;2020-12;200065928;Realised;31.0;Solaire;48.718427183, -3.50101866;22224
Plounéour-Brignogan-plages;29;Finistère;CC Communauté Lesneven Côte des Légendes;53;Bretagne;21;2020-12;242900793;Realised;273.40000000000003;Solaire;48.652759823, -4.329867931;29021
Plounévez-Moëdec;22;Côtes-d'Armor;CA Lannion-Trégor Communauté;53;Bretagne;9;2020-12;200065928;Realised;77.10000000000001;Solaire;48.551145844, -3.445083469;22228
Plounévez-Quintin;22;Côtes-d'Armor;CC du Kreiz-Breizh (CCKB);53;Bretagne;11;2020-12;242200715;Realised;369.9;Solaire;48.285333524, -3.240832698;22229
Plourac'h;22;Côtes-d'Armor;CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;53;Bretagne;4;2020-12;200067981;Realised;89.9;Solaire;48.418496954, -3.551768618;22231
Plouyé;29;Finistère;CC Monts d'Arrée Communauté;53;Bretagne;8;2020-12;200067197;Realised;268.8;Solaire;48.320594107, -3.734469603;29211
Plouzévédé;29;Finistère;CC du Pays de Landivisiau;53;Bretagne;32;2020-12;242900751;Realised;1231.5;Solaire;48.592374493, -4.095786566;29213
Plouégat-Guérand;29;Finistère;CA Morlaix Communauté;53;Bretagne;12;2020-12;242900835;Realised;425.9;Solaire;48.621609557, -3.670379578;29182
Plouénan;29;Finistère;CC Haut-Léon Communauté;53;Bretagne;22;2020-12;200067072;Realised;258.92;Solaire;48.621038862, -3.981195594;29184
Plozévet;29;Finistère;CC du Haut Pays Bigouden;53;Bretagne;18;2020-12;242900710;Realised;247.7;Solaire;47.982917895, -4.409531504;29215
Ploéven;29;Finistère;CC Pleyben-Châteaulin-Porzay;53;Bretagne;3;2020-12;200067247;;;Solaire;48.158073998, -4.212871993;29166
Plumergat;56;Morbihan;CC Auray Quiberon Terre Atlantique;53;Bretagne;48;2020-12;200043123;Realised;305.46000000000004;Solaire;47.727776026, -2.922903251;56175
Plurien;22;Côtes-d'Armor;CA de Lamballe Terre et Mer;53;Bretagne;11;2020-12;200069391;Realised;63.0;Solaire;48.609813426, -2.40021398;22242
Plussulien;22;Côtes-d'Armor;CC Loudéac Communauté - Bretagne Centre;53;Bretagne;3;2020-12;200067460;Realised;43.599999999999994;Solaire;48.278334953, -3.065442329;22244
Pluvigner;56;Morbihan;CC Auray Quiberon Terre Atlantique;53;Bretagne;56;2020-12;200043123;Realised;426.7999999999998;Solaire;47.782582172, -3.015821824;56177
Pléboulle;22;Côtes-d'Armor;CA Dinan Agglomération;53;Bretagne;9;2020-12;200068989;;;Solaire;48.594874746, -2.333473326;22174
Plédran;22;Côtes-d'Armor;CA Saint-Brieuc Armor Agglomération;53;Bretagne;28;2020-12;200069409;Realised;86.38000000000001;Solaire;48.443150883, -2.745126061;22176
Plédéliac;22;Côtes-d'Armor;CA de Lamballe Terre et Mer;53;Bretagne;13;2020-12;200069391;Realised;156.5;Solaire;48.468766655, -2.371601602;22175
Plélan-le-Grand;35;Ille-et-Vilaine;CC de Brocéliande;53;Bretagne;52;2020-12;243500618;Realised;469.7200000000001;Solaire;47.996740523, -2.079868479;35223
